Name,Team,goals,successfulDribbles,goalConversionPercentage,tackles,interceptions,clearances,accuratePasses,accuratePassesPercentage,keyPasses,rating
Darren Fletcher,Stoke City,1,15,9.09,47,26,31,823,78.53,24,6.7
Tomer Hemed,Brighton & Hove Albion,2,7,11.76,7,2,12,146,62.39,3,6.7
Jermain Defoe,Bournemouth,4,3,14.81,12,4,0,97,74.05,13,6.7
Shinji Okazaki,Leicester City,6,16,21.43,25,8,5,283,73.32,15,6.7
Demarai Gray,Leicester City,3,38,8.33,17,11,11,442,79.35,29,6.7
Jeffrey Schlupp,Crystal Palace,0,13,0.0,57,24,54,485,74.16,12,6.7
Gaëtan Bong,Brighton & Hove Albion,0,16,0.0,38,41,71,545,70.6,9,6.71
Manolo Gabbiadini,Southampton,5,6,22.73,3,4,6,158,70.85,7,6.71
Sofiane Boufal,Southampton,2,61,6.67,37,6,6,418,78.57,21,6.71
Claudio Yacob,West Bromwich Albion,0,2,0.0,36,16,25,312,83.42,1,6.71
Tammy Abraham,Swansea City,5,27,11.9,10,1,11,203,67.67,12,6.71
Danny Ings,Liverpool,1,1,12.5,5,2,1,47,61.84,3,6.71
James McArthur,Crystal Palace,5,27,16.67,58,36,38,846,79.14,21,6.72
Zlatan Ibrahimović,Manchester United,0,0,0.0,2,0,1,58,76.32,2,6.68
James McCarthy,Everton,0,3,0.0,9,5,3,72,74.23,1,6.68
Tyrese Campbell,Stoke City,0,0,0.0,2,1,0,9,52.94,0,6.68
Ben Foster,West Bromwich Albion,0,2,0.0,1,1,17,497,46.06,2,6.68
Matt Phillips,West Bromwich Albion,2,45,7.14,26,24,27,361,72.64,35,6.68
Matty James,Leicester City,0,8,0.0,19,17,24,363,81.39,2,6.68
Chris Löwe,Huddersfield Town,0,5,0.0,43,34,55,449,72.54,6,6.68
Edimilson Fernandes,West Ham United,0,10,0.0,17,16,4,210,78.36,7,6.68
Simon Mignolet,Liverpool,0,1,0.0,2,0,13,346,69.48,0,6.68
Jeff Hendrick,Burnley,2,24,8.0,16,8,20,650,81.05,26,6.68
Morgan Schneiderlin,Everton,0,6,0.0,58,61,59,949,83.83,7,6.68
Moritz Bauer,Stoke City,0,12,0.0,24,12,40,188,65.96,14,6.68
Jonas Lössl,Huddersfield Town,0,3,0.0,1,4,37,724,56.39,3,6.68
Adrian Mariappa,Watford,0,2,0.0,45,45,129,740,77.0,4,6.68
Jürgen Locadia,Brighton & Hove Albion,1,0,16.67,1,1,0,36,70.59,1,6.68
Thomas Ince,Huddersfield Town,2,27,2.86,35,12,11,545,79.56,18,6.69
Marcos Rojo,Manchester United,0,4,0.0,7,7,54,292,81.56,2,6.69
Solly March,Brighton & Hove Albion,1,48,3.57,54,13,29,495,77.71,20,6.7
Philip Billing,Huddersfield Town,0,4,0.0,25,19,13,278,75.14,2,6.7
Ainsley Maitland-Niles,Arsenal,0,20,0.0,25,12,22,457,85.26,8,6.7
Cheikhou Kouyaté,West Ham United,2,20,8.7,71,32,49,725,75.92,16,6.64
Scott Malone,Huddersfield Town,0,15,0.0,39,26,38,356,72.21,10,6.64
Geoff Cameron,Stoke City,0,14,0.0,34,36,61,366,72.33,6,6.65
Tommy Smith,Huddersfield Town,0,9,0.0,38,26,72,560,70.71,15,6.65
Fousseni Diabaté,Leicester City,0,16,0.0,9,8,7,179,78.85,7,6.65
Danny Williams,Huddersfield Town,0,10,0.0,23,26,26,319,77.05,4,6.65
Pierre-Emile Højbjerg,Southampton,0,21,0.0,44,37,24,942,85.02,13,6.65
Eliaquim Mangala,Everton,0,4,0.0,7,3,28,373,90.31,1,6.65
Tom Heaton,Burnley,0,0,0.0,0,0,1,48,51.06,0,6.65
Marko Grujić,Liverpool,0,0,0.0,2,0,0,11,78.57,1,6.65
Ramadan Sobhi,Stoke City,2,31,15.38,32,14,12,324,76.96,15,6.65
Lys Mousset,Bournemouth,2,17,9.09,9,3,8,102,63.35,4,6.65
Nacer Chadli,West Bromwich Albion,1,1,25.0,1,0,3,53,76.81,2,6.66
Jan Bednarek,Southampton,1,0,100.0,6,5,27,137,75.27,0,6.66
Tyrone Mings,Bournemouth,0,1,0.0,1,6,13,88,77.88,1,6.67
Scott Arfield,Burnley,2,14,11.11,36,12,20,244,69.12,8,6.67
Jake Livermore,West Bromwich Albion,2,19,13.33,68,28,28,865,78.42,20,6.67
Markus Suttner,Brighton & Hove Albion,0,1,0.0,25,12,37,332,75.8,6,6.67
Jaïro Riedewald,Crystal Palace,0,3,0.0,11,12,12,123,79.35,0,6.67
Stefano Okaka,Watford,1,14,10.0,6,0,0,102,66.23,5,6.67
Molla Wagué,Watford,1,0,33.33,5,9,30,108,74.48,0,6.6
Dan Gosling,Bournemouth,2,18,9.09,50,25,25,820,77.21,17,6.6
Benik Afobe,Bournemouth,0,7,0.0,4,0,6,112,73.68,2,6.61
Diafra Sakho,West Ham United,2,2,22.22,5,1,2,39,60.94,1,6.61
Renato Sanches,Swansea City,0,25,0.0,12,7,4,317,83.64,7,6.61
Isaac Hayden,Newcastle United,1,6,7.14,40,23,40,397,75.33,11,6.61
Alex McCarthy,Southampton,0,0,0.0,0,1,19,157,38.67,0,6.62
Islam Slimani,Newcastle United,1,6,14.29,2,1,3,107,67.72,7,6.62
Christian Atsu,Newcastle United,2,28,5.71,17,13,20,346,77.23,25,6.63
Oliver McBurnie,Swansea City,0,1,0.0,4,0,3,68,68.69,1,6.63
Nikola Vlašić,Everton,0,13,0.0,9,9,9,150,74.63,12,6.63
Sam Field,West Bromwich Albion,1,3,20.0,14,11,7,126,75.9,4,6.63
Bruno Martins Indi,Stoke City,0,0,0.0,20,21,76,281,80.06,3,6.63
Hal Robson-Kanu,West Bromwich Albion,2,14,10.53,5,4,9,123,66.85,8,6.63
Andre Gray,Watford,5,2,14.71,2,4,3,215,71.91,18,6.63
Scott McTominay,Manchester United,0,5,0.0,11,13,9,302,88.05,2,6.63
Luciano Narsingh,Swansea City,1,17,11.11,7,3,3,157,80.93,12,6.63
Fernando Llorente,Tottenham Hotspur,1,0,16.67,6,0,6,60,68.18,4,6.63
Leonardo Ulloa,Brighton & Hove Albion,1,6,33.33,4,0,4,95,72.52,8,6.63
Kevin Wimmer,Stoke City,0,2,0.0,24,30,78,387,76.79,3,6.64
Sam McQueen,Southampton,0,2,0.0,4,3,3,46,73.02,3,6.56
Joe Hart,West Ham United,0,1,0.0,1,0,15,241,44.3,2,6.56
Miguel Britos,Watford,1,2,25.0,15,12,44,313,80.67,3,6.56
Adam Lallana,Liverpool,0,6,0.0,3,1,1,189,85.91,7,6.57
Martin Cranie,Huddersfield Town,0,1,0.0,3,1,9,71,78.89,0,6.57
Connor Goldson,Brighton & Hove Albion,0,0,0.0,2,1,8,61,73.49,0,6.57
Martin Kelly,Crystal Palace,0,2,0.0,19,9,63,254,74.05,2,6.57
Elias Kachunga,Huddersfield Town,1,13,8.33,30,2,7,225,66.37,10,6.57
Rolando Aarons,Newcastle United,0,4,0.0,4,1,0,28,68.29,0,6.58
Javier Manquillo,Newcastle United,0,12,0.0,36,18,49,405,75.0,11,6.58
Josh Sims,Southampton,0,2,0.0,4,1,0,48,77.42,2,6.58
Collin Quaner,Huddersfield Town,0,23,0.0,22,11,13,309,73.57,17,6.58
Charlie Adam,Stoke City,0,12,0.0,9,9,9,156,63.41,7,6.59
Kevin Mirallas,Everton,0,2,0.0,4,0,3,44,81.48,1,6.6
Ramiro Funes Mori,Everton,0,0,0.0,0,3,13,41,77.36,0,6.6
Liam Rosenior,Brighton & Hove Albion,0,0,0.0,4,4,7,47,72.31,0,6.6
Nathaniel Clyne,Liverpool,0,0,0.0,3,0,3,83,79.81,1,6.6
Edward Nketiah,Arsenal,0,0,0.0,1,0,0,6,85.71,0,6.6
Freddie Ladapo,Crystal Palace,0,0,0.0,0,0,0,5,71.43,0,6.6
Hamza Choudhury,Leicester City,0,0,0.0,9,9,3,137,84.05,1,6.6
Pape Souaré,Crystal Palace,0,0,0.0,0,0,0,8,88.89,0,6.5
Ben Woodburn,Liverpool,0,0,0.0,0,0,0,7,87.5,0,6.5
Abdelhamid Sabiri,Huddersfield Town,0,1,0.0,5,1,2,66,67.35,3,6.5
Nathan Dyer,Swansea City,0,22,0.0,22,11,2,414,81.02,10,6.51
James McClean,West Bromwich Albion,1,23,3.33,40,19,15,261,72.5,18,6.51
Tom Davies,Everton,2,26,9.52,30,24,17,539,78.0,11,6.52
Saido Berahino,Stoke City,0,1,0.0,2,1,2,74,77.89,3,6.52
Rajiv Van La Parra,Huddersfield Town,3,68,6.98,41,21,7,503,79.34,14,6.53
Beram Kayal,Brighton & Hove Albion,0,5,0.0,19,12,8,180,78.95,12,6.53
Francis Coquelin,Arsenal,0,1,0.0,5,3,2,79,82.29,1,6.53
Lucas Moura,Tottenham Hotspur,0,6,0.0,4,2,2,88,77.88,7,6.53
Roque Mesa,Swansea City,0,5,0.0,20,13,6,420,86.42,5,6.54
Yannick Bolasie,Everton,1,17,5.26,8,4,7,132,62.86,4,6.54
Wayne Routledge,Swansea City,0,5,0.0,10,2,4,110,68.75,6,6.54
Danny Simpson,Leicester City,0,10,0.0,38,34,94,673,74.45,4,6.55
Marc Pugh,Bournemouth,0,19,0.0,7,13,13,376,80.17,10,6.55
Ademola Lookman,Everton,0,8,0.0,1,1,2,38,84.44,2,6.55
Orestis Karnezis,Watford,0,0,0.0,0,1,7,167,44.77,0,6.55
Adrien Silva,Leicester City,0,5,0.0,22,14,0,353,81.34,7,6.55
Sandro Ramírez,Everton,0,3,0.0,2,1,0,66,80.49,1,6.56
Isaiah Brown,Brighton & Hove Albion,0,6,0.0,3,1,2,90,69.77,6,6.49
Martin Olsson,Swansea City,0,11,0.0,34,31,67,841,73.51,13,6.49
Ezequiel Schelotto,Brighton & Hove Albion,0,15,0.0,20,19,51,344,75.6,5,6.49
Aaron Lennon,Burnley,0,15,0.0,37,19,16,328,70.09,11,6.5
Gareth McAuley,West Bromwich Albion,0,1,0.0,8,11,15,81,64.8,0,6.5
Chung-yong Lee,Crystal Palace,0,2,0.0,2,2,0,55,82.09,2,6.5
Davy Klaassen,Everton,0,0,0.0,3,1,1,79,79.8,2,6.5
Leon Britton,Swansea City,0,0,0.0,6,1,1,127,92.7,0,6.5
Patrice Evra,West Ham United,0,3,0.0,6,7,6,68,70.1,0,6.5
Brahim Díaz,Manchester City,0,1,0.0,1,1,0,25,89.29,0,6.5
Jerome Sinclair,Watford,0,2,0.0,0,1,0,7,87.5,1,6.5
Jamie Murphy,Brighton & Hove Albion,0,1,0.0,2,1,1,37,86.05,1,6.5
Ben Hamer,Leicester City,0,0,0.0,0,0,5,40,57.14,0,6.5
Harvey Barnes,Leicester City,0,0,0.0,0,0,0,6,100.0,0,6.5
Josh Cullen,West Ham United,0,0,0.0,0,2,0,3,75.0,0,6.5
Joe Willock,Arsenal,0,0,0.0,4,1,1,31,77.5,0,6.5
Ross Barkley,Chelsea,0,5,0.0,0,0,1,38,76.0,2,6.5
Boaz Myhill,West Bromwich Albion,0,0,0.0,0,0,1,10,52.63,0,6.5
Levi Lumeka,Crystal Palace,0,1,0.0,1,1,0,5,71.43,0,6.5
Emerson Hyndman,Bournemouth,0,0,0.0,0,1,0,21,87.5,1,6.5
Ibrahim Afellay,Stoke City,0,1,0.0,3,1,1,71,87.65,0,6.38
Ben Watson,Watford,0,0,0.0,19,7,9,194,82.2,3,6.39
Daniel Amartey,Leicester City,0,4,0.0,8,7,16,199,79.6,0,6.4
Jonathan Walters,Burnley,0,0,0.0,0,0,1,4,44.44,0,6.4
Sam Baldock,Brighton & Hove Albion,0,0,0.0,0,0,0,4,57.14,0,6.4
Jay Fulton,Swansea City,0,0,0.0,0,0,0,5,62.5,0,6.4
Lukas Nmecha,Manchester City,0,0,0.0,0,0,0,5,100.0,0,6.4
Uwe Hünemeier,Brighton & Hove Albion,0,0,0.0,0,0,4,1,25.0,0,6.4
Julien Ngoy,Stoke City,0,0,0.0,1,0,0,4,80.0,0,6.4
Divock Origi,Liverpool,0,0,0.0,0,0,0,1,50.0,0,6.4
Jérémie Boga,Chelsea,0,0,0.0,0,0,0,4,100.0,0,6.4
Kasey Palmer,Huddersfield Town,0,3,0.0,6,0,1,41,77.36,1,6.43
Jason Puncheon,Crystal Palace,0,4,0.0,13,5,4,200,84.03,5,6.43
Àngel Rangel,Swansea City,0,0,0.0,4,3,3,83,87.37,1,6.47
Jacob Murphy,Newcastle United,1,34,4.55,13,6,9,184,65.48,11,6.47
Beni Baningime,Everton,0,1,0.0,6,2,1,67,81.71,0,6.47
Glen Johnson,Stoke City,0,3,0.0,7,10,22,125,66.49,4,6.48
Stephen Ireland,Stoke City,0,1,0.0,3,1,1,55,83.33,1,6.48
Oliver Burke,West Bromwich Albion,0,13,0.0,6,7,2,111,79.29,4,6.48
Nahki Wells,Burnley,0,1,0.0,4,0,0,16,100.0,0,6.49
Massadio Haïdara,Newcastle United,0,0,0.0,0,0,0,2,100.0,0,0.0
Vincent Janssen,Tottenham Hotspur,0,0,0.0,0,0,0,0,0.0,0,0.0
Axel Tuanzebe,Manchester United,0,0,0.0,0,0,0,0,0.0,0,0.0
Dwight McNeil,Burnley,0,0,0.0,0,0,0,1,100.0,0,0.0
Konstantinos Mavropanos,Arsenal,0,1,0.0,1,6,11,91,88.35,0,5.8
Damien Delaney,Crystal Palace,0,1,0.0,2,3,7,30,78.95,0,5.8
Michael Hefele,Huddersfield Town,0,0,0.0,0,1,5,8,88.89,0,5.8
Josh Tymon,Stoke City,0,1,0.0,5,1,2,71,87.65,0,6.2
Jack Simpson,Bournemouth,0,0,0.0,1,0,4,4,80.0,0,6.2
Michael Obafemi,Southampton,0,0,0.0,0,0,0,1,100.0,0,6.2
Dean Whitehead,Huddersfield Town,0,0,0.0,0,2,0,42,84.0,0,6.33
Georges-Kévin N'Koudou,Burnley,0,6,0.0,7,1,1,66,79.52,1,6.35
Jordan Hugill,West Ham United,0,1,0.0,0,0,0,3,33.33,0,6.35
Joe Lolley,Huddersfield Town,1,3,33.33,2,3,1,51,78.46,1,6.36
Lee Grant,Stoke City,0,0,0.0,1,0,0,44,56.41,0,6.37
