Name,Team,goals,successfulDribbles,goalConversionPercentage,tackles,interceptions,clearances,accuratePasses,accuratePassesPercentage,keyPasses,rating
Joe Gomez,Liverpool,0,23,0.0,56,36,47,1129,84.38,17,7.0
John Stones,Manchester City,0,4,0.0,15,19,41,1194,95.83,0,7.0
David Ospina,Arsenal,0,0,0.0,0,0,5,81,69.23,0,7.0
Callum Hudson-Odoi,Chelsea,0,5,0.0,0,0,0,12,75.0,0,7.0
Kyle Walker-Peters,Tottenham Hotspur,0,4,0.0,5,3,6,80,82.47,3,7.0
Dušan Tadić,Southampton,6,54,15.0,45,19,18,831,74.8,60,7.0
Idrissa Gueye,Everton,2,18,8.7,117,63,42,1327,84.74,16,7.0
Jesse Lingard,Manchester United,8,28,14.29,30,9,10,818,87.77,26,7.0
Davinson Sánchez,Tottenham Hotspur,0,9,0.0,38,38,159,1670,89.45,4,7.0
Pedro,Chelsea,4,33,7.14,20,13,6,544,83.18,26,7.0
Luka Milivojević,Crystal Palace,10,28,23.81,86,71,74,1321,80.16,21,7.01
Steve Cook,Bournemouth,2,1,9.09,37,54,225,1001,75.72,5,7.01
Jamaal Lascelles,Newcastle United,3,5,25.0,31,28,229,913,77.05,6,7.01
Mamadou Sakho,Crystal Palace,1,6,33.33,21,30,99,633,85.54,2,6.95
Alfie Mawson,Swansea City,2,24,10.0,32,37,222,1414,81.12,5,6.95
Bernardo Silva,Manchester City,6,29,24.0,27,10,10,813,86.95,31,6.95
Alexander Sørloth,Crystal Palace,0,11,0.0,6,2,5,65,60.75,6,6.95
Younès Kaboul,Watford,0,0,0.0,3,2,15,52,68.42,0,6.95
Matt Targett,Southampton,0,3,0.0,6,3,6,58,72.5,2,6.95
James Collins,West Ham United,1,1,25.0,15,16,118,283,72.75,2,6.95
Leighton Baines,Everton,2,8,28.57,25,25,47,604,80.11,24,6.95
Anthony Martial,Manchester United,9,43,18.37,15,3,6,599,81.94,33,6.95
Adrián,West Ham United,0,0,0.0,2,0,21,221,42.5,0,6.95
Heung-min Son,Tottenham Hotspur,12,58,16.0,17,10,9,780,85.15,41,6.96
Sung-Yueng Ki,Swansea City,2,7,10.0,25,32,20,735,88.02,19,6.96
Nick Pope,Burnley,0,0,0.0,0,0,39,429,39.04,4,6.96
Steven Davis,Southampton,3,9,23.08,30,15,23,873,83.62,18,6.96
Wesley Hoedt,Southampton,0,25,0.0,60,40,172,1044,78.91,9,6.96
Dele Alli,Tottenham Hotspur,9,44,13.04,46,19,18,966,77.22,65,6.97
Ryan Shawcross,Stoke City,1,3,4.17,36,39,215,447,67.32,2,6.97
Patrick van Aanholt,Crystal Palace,5,25,15.15,47,47,56,679,77.16,18,6.97
Mario Lemina,Southampton,1,55,4.35,55,35,33,854,87.86,8,6.98
Matthew Lowton,Burnley,0,11,0.0,55,39,109,567,68.89,14,6.98
Kyle Bartley,Swansea City,0,0,0.0,3,4,21,93,80.87,2,6.92
Gylfi Sigurðsson,Everton,4,20,10.26,38,34,30,524,74.86,38,6.92
Matt Ritchie,Newcastle United,3,15,5.08,45,36,53,759,72.49,52,6.92
Badou Ndiaye,Stoke City,2,17,10.53,51,14,18,279,82.3,7,6.92
Andrew Surman,Bournemouth,2,13,11.11,16,16,49,993,84.37,16,6.92
Chris Wood,Burnley,10,6,25.64,7,0,16,250,60.1,11,6.93
Marouane Fellaini,Manchester United,4,5,40.0,15,14,18,335,85.24,5,6.93
Steve Mounié,Huddersfield Town,7,13,14.29,11,7,29,326,62.33,17,6.93
Daniel Sturridge,West Bromwich Albion,2,13,8.33,0,0,1,125,79.11,16,6.93
Will Hughes,Watford,2,7,16.67,34,15,6,321,79.65,17,6.93
Eric Maxim Choupo-Moting,Stoke City,5,61,8.33,42,23,25,468,73.01,20,6.93
Toby Alderweireld,Tottenham Hotspur,0,6,0.0,19,4,50,785,85.79,3,6.94
Victor Moses,Chelsea,3,32,8.57,37,16,31,638,76.5,21,6.94
Nathan Aké,Bournemouth,2,9,11.11,53,48,229,1332,83.88,9,6.94
Theo Walcott,Everton,3,28,15.79,28,9,11,247,75.77,15,6.94
İlkay Gündoğan,Manchester City,4,26,11.43,27,16,10,1286,91.73,22,6.94
David Luiz,Chelsea,1,3,9.09,18,24,41,420,85.37,1,6.94
James Ward-Prowse,Southampton,3,5,10.71,23,8,18,589,78.85,37,6.94
Yaya Touré,Manchester City,0,4,0.0,2,5,4,390,93.75,7,6.94
Maya Yoshida,Southampton,2,2,10.53,27,41,129,894,84.18,5,6.95
Charly Musonda Jr,Chelsea,0,1,0.0,1,0,0,15,83.33,1,6.9
Mike van der Hoorn,Swansea City,1,9,10.0,30,39,122,655,76.25,5,6.9
Christian Kabasele,Watford,2,3,20.0,42,34,173,675,74.75,3,6.9
Pedro Obiang,West Ham United,2,24,15.38,53,24,19,609,80.45,6,6.9
Kenedy,Newcastle United,2,17,8.7,31,15,9,272,77.27,14,6.9
Anthony Knockaert,Brighton & Hove Albion,3,62,6.52,39,23,13,820,83.33,32,6.9
Simon Francis,Bournemouth,0,11,0.0,49,49,176,1183,73.62,27,6.9
Łukasz Fabiański,Swansea City,0,0,0.0,0,0,25,594,53.37,1,6.91
Craig Dawson,West Bromwich Albion,2,7,12.5,38,52,134,629,69.58,10,6.91
Steven Defour,Burnley,1,13,5.26,33,46,18,851,83.76,19,6.91
Hugo Lloris,Tottenham Hotspur,0,1,0.0,1,2,54,749,75.2,1,6.91
Ederson,Manchester City,0,1,0.0,1,0,29,792,85.34,1,6.91
Craig Cathcart,Watford,0,1,0.0,8,3,38,143,77.3,0,6.91
Benjamin Mendy,Manchester City,0,3,0.0,5,8,8,161,85.64,9,6.91
Gerard Deulofeu,Watford,1,17,12.5,5,4,2,106,74.65,11,6.91
Oriol Romeu,Southampton,1,16,3.7,92,69,72,1524,82.6,23,6.91
Federico Fernández,Swansea City,1,1,12.5,40,38,198,996,82.31,6,6.92
Ruben Loftus-Cheek,Crystal Palace,2,72,6.25,22,23,26,596,82.55,26,6.92
Javier Hernández,West Ham United,8,22,27.59,11,6,1,274,73.46,21,6.92
Cuco Martina,Everton,0,2,0.0,61,42,117,608,77.95,13,6.92
Joshua King,Bournemouth,8,62,15.69,36,4,14,503,73.0,38,6.87
José Holebas,Watford,0,23,0.0,51,29,81,655,68.37,39,6.88
Peter Crouch,Stoke City,5,5,21.74,2,1,31,373,58.83,21,6.88
Alex Pritchard,Huddersfield Town,1,14,5.0,19,5,8,248,71.68,21,6.88
Phil Jagielka,Everton,0,1,0.0,33,39,176,733,75.88,1,6.88
Nathaniel Chalobah,Watford,0,7,0.0,9,6,6,132,72.53,1,6.88
Wayne Rooney,Everton,10,9,22.22,28,17,36,903,77.78,35,6.88
Jack Wilshere,Arsenal,1,45,6.67,15,8,5,698,86.39,15,6.89
Marcus Rashford,Manchester United,7,45,11.48,14,8,14,451,78.3,22,6.89
Mark Noble,West Ham United,4,20,26.67,61,47,22,1110,83.84,20,6.89
Kiko Femenía,Watford,1,25,11.11,36,34,30,661,83.25,18,6.89
Vicente Iborra,Leicester City,3,11,21.43,23,19,49,698,81.45,9,6.89
Michael Keane,Everton,0,7,0.0,33,53,206,899,77.77,4,6.89
Yohan Cabaye,Crystal Palace,0,10,0.0,71,79,28,1068,82.47,42,6.89
Stephen Ward,Burnley,1,5,16.67,39,42,102,637,69.01,16,6.89
Victor Lindelöf,Manchester United,0,4,0.0,17,13,64,682,90.81,2,6.89
Tom Carroll,Swansea City,0,14,0.0,53,29,15,1194,82.63,46,6.89
Bojan Krkic,Stoke City,0,1,0.0,0,0,0,22,88.0,1,6.9
Dodi Lukebakio,Watford,0,0,0.0,1,0,0,6,100.0,2,6.9
Séamus Coleman,Everton,0,25,0.0,14,12,24,261,73.31,7,6.9
Marc Albrighton,Leicester City,2,52,10.0,51,27,25,676,67.33,49,6.84
Petr Čech,Arsenal,0,2,0.0,1,0,44,530,65.35,0,6.85
Sead Kolašinac,Arsenal,2,12,9.52,49,26,53,1016,80.13,19,6.85
Martin Dúbravka,Newcastle United,0,0,0.0,0,0,9,171,54.11,0,6.85
Thibaut Courtois,Chelsea,0,0,0.0,0,0,17,693,70.5,0,6.85
Bruno Saltor,Brighton & Hove Albion,0,15,0.0,30,38,60,798,82.01,9,6.85
Paul Dummett,Newcastle United,0,0,0.0,28,23,92,416,69.45,7,6.85
Nathan Redmond,Southampton,1,55,2.27,32,15,14,613,76.82,42,6.85
Mohamed Elneny,Arsenal,0,3,0.0,12,10,12,784,93.67,10,6.85
Oumar Niasse,Everton,8,20,21.62,10,2,6,156,62.4,11,6.85
Salomón Rondón,West Bromwich Albion,7,45,8.86,14,15,20,556,66.83,23,6.86
Aaron Cresswell,West Ham United,1,5,4.76,34,44,110,1002,77.14,35,6.86
Gary Cahill,Chelsea,0,4,0.0,29,27,123,1184,89.02,3,6.86
Phil Bardsley,Burnley,0,3,0.0,17,22,66,282,67.46,5,6.86
Loris Karius,Liverpool,0,0,0.0,0,1,15,350,67.18,0,6.86
Mason Holgate,Everton,0,8,0.0,23,23,82,320,67.37,7,6.86
Wilfred Ndidi,Leicester City,0,33,0.0,138,50,95,1280,76.05,13,6.87
Mikel Merino,Newcastle United,1,28,6.25,56,34,23,644,79.31,17,6.87
Joel Ward,Crystal Palace,0,8,0.0,34,29,60,488,71.87,8,6.87
Olivier Giroud,Chelsea,7,3,14.89,9,2,9,247,66.04,20,6.87
Charlie Daniels,Bournemouth,1,13,5.0,48,31,93,1233,78.74,29,6.83
Christian Benteke,Crystal Palace,3,16,5.0,10,3,43,379,56.4,28,6.83
Tom Cleverley,Watford,1,5,6.25,48,25,19,936,82.32,29,6.83
Jonathan Hogg,Huddersfield Town,0,8,0.0,92,69,45,1204,85.21,9,6.83
Aleksandar Dragović,Leicester City,0,1,0.0,13,16,42,288,85.21,0,6.83
Georginio Wijnaldum,Liverpool,1,42,2.63,34,24,19,1138,89.96,22,6.83
Mousa Dembélé,Tottenham Hotspur,0,68,0.0,36,33,12,1311,92.19,18,6.83
Ryan Bertrand,Southampton,0,17,0.0,49,44,60,1168,78.87,36,6.83
Christian Fuchs,Leicester City,0,9,0.0,41,58,70,664,74.11,19,6.83
Jonny Evans,West Bromwich Albion,2,10,20.0,29,48,126,769,80.02,8,6.83
Kelechi Iheanacho,Leicester City,3,13,10.34,9,3,4,197,80.08,11,6.83
Ayoze Pérez,Newcastle United,8,32,13.33,39,24,24,512,71.31,37,6.83
Robert Elliot,Newcastle United,0,0,0.0,0,0,17,263,53.56,0,6.83
Claudio Bravo,Manchester City,0,0,0.0,0,0,0,50,90.91,0,6.83
Erik Pieters,Stoke City,0,10,0.0,71,61,106,717,71.63,14,6.84
Calum Chambers,Arsenal,0,7,0.0,17,18,44,500,83.33,2,6.84
Ashley Williams,Everton,1,2,7.69,23,36,170,591,80.74,3,6.84
Angelo Ogbonna,West Ham United,1,9,12.5,30,58,191,808,79.76,7,6.84
Dale Stephens,Brighton & Hove Albion,0,18,0.0,103,63,67,1472,83.78,17,6.84
Ashley Barnes,Burnley,9,16,15.0,21,2,18,310,61.14,18,6.84
Muhamed Bešić,Everton,0,0,0.0,1,0,1,27,96.43,1,6.8
Michael Carrick,Manchester United,0,2,0.0,1,1,3,84,84.85,2,6.8
Reece Oxford,West Ham United,0,0,0.0,2,0,0,0,0.0,0,6.8
Danny Rose,Tottenham Hotspur,0,11,0.0,15,9,10,308,81.48,10,6.8
Lasse Sørensen,Stoke City,0,0,0.0,2,0,3,40,74.07,2,6.8
Lewis Cook,Bournemouth,0,49,0.0,67,35,22,975,79.46,31,6.8
Henri Saivet,Newcastle United,1,0,100.0,5,4,8,15,62.5,0,6.8
André Carrillo,Watford,1,59,4.17,31,15,11,543,76.59,20,6.8
Richarlison,Watford,5,47,5.26,64,24,29,514,63.93,26,6.8
Glenn Murray,Brighton & Hove Albion,12,7,22.64,18,5,27,366,55.12,17,6.8
Sam Vokes,Burnley,4,1,12.12,3,3,14,131,49.43,8,6.81
Jordon Ibe,Bournemouth,2,38,3.7,14,10,9,559,80.43,36,6.81
Leroy Fer,Swansea City,1,26,8.33,44,12,23,512,81.01,10,6.81
Daryl Janmaat,Watford,3,10,12.5,46,33,53,583,75.91,12,6.82
Victor Wanyama,Tottenham Hotspur,1,18,8.33,30,10,20,538,87.2,5,6.82
Andy Carroll,West Ham United,3,9,10.71,3,2,15,152,61.29,7,6.82
Tiemoué Bakayoko,Chelsea,2,36,5.0,63,37,36,954,86.18,16,6.82
Jack Stephens,Southampton,2,17,18.18,29,41,105,701,75.54,4,6.82
Connor Roberts,Swansea City,0,0,0.0,6,3,6,108,80.0,0,6.83
Ciaran Clark,Newcastle United,2,4,18.18,25,17,140,501,71.67,4,6.83
Joe Allen,Stoke City,2,44,8.33,95,57,53,1101,81.13,31,6.79
Troy Deeney,Watford,5,4,13.89,15,5,20,307,56.64,26,6.79
Harry Winks,Tottenham Hotspur,0,8,0.0,15,11,8,578,90.03,10,6.79
Jordan Pickford,Everton,0,0,0.0,0,2,48,517,44.49,3,6.79
Erik Lamela,Tottenham Hotspur,2,23,10.0,23,7,4,369,82.74,16,6.79
Charlie Austin,Southampton,7,3,14.58,8,1,10,167,68.44,4,6.79
Scott Dann,Crystal Palace,1,7,5.26,10,23,97,452,79.86,5,6.79
Wayne Hennessey,Crystal Palace,0,0,0.0,0,2,15,317,46.08,1,6.79
Dominic Calvert-Lewin,Everton,4,21,9.3,15,10,22,300,60.85,20,6.79
Étienne Capoue,Watford,1,13,4.35,43,43,35,721,82.4,8,6.79
Héctor Bellerín,Arsenal,2,25,6.9,57,23,71,1563,84.85,34,6.79
Danny Welbeck,Arsenal,5,14,15.63,20,11,12,313,79.85,13,6.79
Cédric Soares,Southampton,0,7,0.0,54,23,82,934,73.25,24,6.79
Michail Antonio,West Ham United,3,51,8.82,15,13,14,261,67.79,14,6.8
Joselu,Newcastle United,4,7,8.51,22,11,35,373,62.9,16,6.8
Mathew Ryan,Brighton & Hove Albion,0,0,0.0,0,3,23,505,47.96,0,6.8
Chancel Mbemba,Newcastle United,0,8,0.0,16,15,41,153,71.83,4,6.8
Konstantinos Stafylidis,Stoke City,0,2,0.0,12,5,11,73,77.66,2,6.8
Reiss Nelson,Arsenal,0,1,0.0,4,3,0,73,92.41,1,6.8
Eldin Jakupović,Leicester City,0,0,0.0,0,0,5,23,53.49,0,6.8
Fraser Forster,Southampton,0,0,0.0,0,0,9,191,43.02,0,6.77
Rob Holding,Arsenal,0,5,0.0,19,21,39,510,84.58,2,6.77
Tom Edwards,Stoke City,0,3,0.0,15,5,19,116,71.6,1,6.77
Shane Long,Southampton,2,9,6.06,25,12,29,264,66.84,22,6.77
Kyle Naughton,Swansea City,0,24,0.0,92,61,102,1225,74.83,12,6.77
Arthur Masuaku,West Ham United,0,83,0.0,58,26,33,550,80.53,18,6.77
Dominic Solanke,Liverpool,1,9,4.55,7,2,7,148,75.13,15,6.77
Mohamed Diamé,Newcastle United,2,25,10.0,88,48,28,665,81.5,13,6.77
Jonjoe Kenny,Everton,0,6,0.0,41,28,73,402,68.48,10,6.77
Grzegorz Krychowiak,West Bromwich Albion,0,19,0.0,40,45,23,636,78.33,13,6.77
Sam Byram,West Ham United,0,2,0.0,9,9,13,50,59.52,2,6.78
Zanka,Huddersfield Town,0,3,0.0,54,77,242,1198,76.7,10,6.78
Harry Arter,Bournemouth,1,4,9.09,19,9,5,512,87.37,3,6.78
José Izquierdo,Brighton & Hove Albion,5,32,9.62,23,16,25,410,78.39,21,6.78
Kieran Gibbs,West Bromwich Albion,0,24,0.0,41,48,83,759,74.93,23,6.78
Callum Wilson,Bournemouth,8,17,15.09,9,3,15,277,70.66,20,6.78
Allan Nyom,West Bromwich Albion,0,10,0.0,64,27,83,574,76.23,15,6.78
Dwight Gayle,Newcastle United,6,9,10.53,12,6,17,313,72.29,21,6.78
Per Mertesacker,Arsenal,1,0,50.0,2,6,21,226,91.5,0,6.78
Guido Carrillo,Southampton,0,3,0.0,5,0,5,81,65.85,4,6.79
André Ayew,Swansea City,3,21,11.54,35,9,11,457,78.66,16,6.73
Charlie Taylor,Burnley,0,8,0.0,16,15,39,218,66.87,4,6.74
Pablo Zabaleta,West Ham United,0,7,0.0,96,61,124,844,73.2,17,6.74
Jesé Rodríguez,Stoke City,1,15,7.69,10,0,3,113,77.4,9,6.74
Timothy Fosu-Mensah,Crystal Palace,0,11,0.0,42,31,66,456,74.51,6,6.74
Sam Clucas,Swansea City,3,5,15.79,34,30,30,657,83.69,15,6.74
Asmir Begović,Bournemouth,0,0,0.0,0,2,36,485,51.27,1,6.74
Gareth Barry,West Bromwich Albion,1,10,6.25,35,14,32,709,76.48,17,6.74
Jordan Ayew,Swansea City,7,74,10.61,82,24,17,691,82.66,16,6.75
Ander Herrera,Manchester United,0,10,0.0,56,34,20,914,87.63,13,6.75
Kasper Schmeichel,Leicester City,0,2,0.0,1,0,38,512,49.61,1,6.75
Karl Darlow,Newcastle United,0,0,0.0,0,0,6,137,46.13,0,6.75
DeAndre Yedlin,Newcastle United,0,28,0.0,57,44,93,750,75.0,19,6.75
Adam Smith,Bournemouth,1,29,7.69,49,31,56,751,82.35,22,6.75
Winston Reid,West Ham United,0,0,0.0,11,22,101,539,81.79,4,6.75
Mame Biram Diouf,Stoke City,6,11,10.17,48,14,69,319,57.17,21,6.76
Jack Cork,Burnley,2,31,13.33,60,41,81,1275,80.49,19,6.76
Emerson Palmieri,Chelsea,0,5,0.0,6,2,9,105,80.77,1,6.76
Wilfried Bony,Swansea City,2,10,10.0,5,2,15,131,62.98,4,6.76
Ben Chilwell,Leicester City,0,31,0.0,36,28,62,666,74.0,22,6.76
Laurent Depoitre,Huddersfield Town,6,12,24.0,14,11,35,275,57.05,14,6.72
Declan Rice,West Ham United,0,2,0.0,36,27,70,451,78.71,2,6.72
Matteo Darmian,Manchester United,0,1,0.0,16,7,22,163,83.59,1,6.72
Michy Batshuayi,Chelsea,2,5,15.38,5,1,3,67,69.79,1,6.72
Sebastian Prödl,Watford,0,0,0.0,22,31,89,444,78.17,2,6.72
Jay Rodriguez,West Bromwich Albion,7,29,10.14,31,19,37,510,72.34,21,6.72
Ashley Westwood,Burnley,0,2,0.0,13,19,16,490,81.8,9,6.72
Davy Pröpper,Brighton & Hove Albion,0,36,0.0,73,60,68,1085,78.23,19,6.72
Marvin Zeegelaar,Watford,0,15,0.0,23,20,25,337,79.86,7,6.73
Phil Foden,Manchester City,0,3,0.0,1,0,1,40,90.91,2,6.73
Danny Drinkwater,Chelsea,1,3,16.67,15,8,7,331,85.97,5,6.73
James Morrison,West Bromwich Albion,1,2,25.0,2,1,0,77,87.5,3,6.73
Roberto Pereyra,Watford,5,31,15.15,10,9,3,574,84.91,24,6.73
Moussa Sissoko,Tottenham Hotspur,1,18,5.26,23,9,21,726,83.54,27,6.73
Julián Speroni,Crystal Palace,0,1,0.0,0,1,5,130,44.22,0,6.73
Wes Morgan,Leicester City,0,9,0.0,34,31,143,739,81.03,5,6.73
Davide Zappacosta,Chelsea,1,14,4.0,26,6,20,378,84.94,13,6.73
Bakary Sako,Crystal Palace,3,7,17.65,7,1,0,87,66.41,6,6.73
Heurelho Gomes,Watford,0,0,0.0,0,2,39,352,55.87,0,6.73
Andy King,Swansea City,3,2,21.43,26,11,26,459,81.96,6,6.73
Willy Caballero,Chelsea,0,0,0.0,0,0,5,61,69.32,0,6.7
Nordin Amrabat,Watford,0,2,0.0,6,0,2,40,60.61,3,6.7
Rekeem Harper,West Bromwich Albion,0,0,0.0,1,0,0,4,80.0,2,6.7
Michel Vorm,Tottenham Hotspur,0,0,0.0,0,0,1,21,87.5,0,6.7
Ethan Ampadu,Chelsea,0,0,0.0,1,0,2,19,100.0,0,6.7
Florent Hadergjonaj,Huddersfield Town,0,16,0.0,23,17,38,411,66.72,25,6.7
Aleksandar Mitrović,Newcastle United,1,2,25.0,1,0,2,39,72.22,3,6.7
